num_sentences,num_words,num_syllables,avg_syllables_per_word,fk_grade,fk_read,Analytic,Authentic,Tone,tone_pos,tone_neg,focuspast,focuspresent,focusfuture,Cognition,memory,Self-reference,Other-reference,Contextual Embedding,Perceptual Details,Reality Monitoring,Temporal details,Spatial details,Quantity details,People,concreteness,Condition,Participant_id,Event
11,190,242,1.2736842105263158,6.5,79.3,55.49,99.0,35.11,1.58,0.53,8.95,1.58,0.53,12.63,0.53,10.53,1.58,18.950000000000003,0.0,8.430000000000001,1.5706806282722514,0.0,0.5235602094240838,0.0,3.1502173913043485,Truthful,660687a02630547fb296d754,Taking the bus/train without the ticket
11,152,199,1.3092105263157894,5.1,82.85,1.88,81.34,1.0,0.0,7.24,15.13,0.66,0.0,17.11,0.0,13.15,3.95,10.530000000000001,1.97,2.6300000000000026,0.6535947712418301,0.0,0.0,0.0,2.975675675675676,Truthful,65391353897d68dd53a067da,Ending a long romantic relationship
8,129,188,1.4573643410852712,8.4,63.59,78.39,93.24,56.53,3.1,0.78,13.18,0.0,0.78,8.53,0.78,9.3,0.78,14.73,1.56,12.409999999999998,1.550387596899225,0.0,2.3255813953488373,0.0,2.8857894736842105,Truthful,615b2ee8616d1b05551794ee,A job interview for your dream job
13,256,326,1.2734375,7.4,76.86,24.22,72.92,20.23,1.56,1.56,12.5,0.0,0.0,10.94,0.0,10.16,8.98,18.349999999999998,1.56,12.489999999999997,3.8461538461538463,0.0,0.0,0.0,3.383030303030303,Truthful,616dc201c0b58a25890f4b94,Ending a long romantic relationship
7,118,186,1.576271186440678,9.9,54.32,68.82,64.51,59.8,3.36,0.84,10.08,1.68,2.52,9.24,0.0,8.4,1.68,14.29,0.0,9.249999999999998,5.88235294117647,0.0,0.0,0.0,3.1820588235294123,Truthful,5b6034ba0ced0a00017ba9b9,Missing a deadline at work because of bad organisation
7,147,215,1.4625850340136055,10.3,58.62,75.44,70.51,40.13,4.08,2.72,9.52,0.0,0.0,10.2,1.36,6.8,0.0,12.92,0.0,9.52,1.342281879194631,2.013422818791946,0.6711409395973155,0.0,3.0436170212765954,Truthful,5f4e0edcc541ccaf7a8f11c4,None of them
11,304,422,1.388157894736842,11.7,60.38,94.54,97.39,50.42,2.3,0.33,8.52,0.33,0.98,12.46,0.0,6.880000000000001,0.0,16.4,1.98,8.869999999999997,2.2950819672131146,0.0,0.0,0.0,3.0340277777777778,Truthful,60e807c17adbb05b6799a83e,None of them
3,89,114,1.2808988764044944,11.3,66.71,68.74,96.45,36.25,3.37,2.25,11.24,0.0,0.0,1.12,0.0,12.36,2.25,19.1,0.0,23.6,2.2222222222222223,0.0,0.0,0.0,3.1712000000000002,Truthful,616dd4121bdb418e5cbb09a5,Cheating on your partner
7,88,119,1.3522727272727273,5.8,75.61,1.81,79.84,86.79,5.68,1.14,10.23,4.55,0.0,21.59,1.14,12.5,4.55,9.09,1.14,-4.539999999999999,0.0,0.0,0.0,1.1363636363636365,3.0444000000000004,Truthful,6613f2bcc9eb1d833c3c107c,Cheating on your partner
8,125,170,1.36,7.0,72.56,25.62,80.38,1.0,0.0,3.94,14.17,3.94,1.57,11.81,0.79,14.96,0.0,6.3,0.79,-0.7800000000000011,2.34375,0.0,1.5625,0.0,3.0941666666666667,Truthful,60d336e24fbd4089351d3785,Missing a deadline at work because of bad organisation
5,49,86,1.7551020408163265,9.5,44.61,14.33,24.32,99.0,16.33,0.0,12.24,0.0,2.04,14.29,0.0,4.08,0.0,8.16,0.0,10.2,0.0,0.0,0.0,0.0,2.704,Truthful,5ef09df28c610f5ffa1601c9,None of them
4,72,102,1.4166666666666667,8.0,70.13,79.79,39.59,64.0,2.78,0.0,13.89,4.17,0.0,8.33,1.39,6.949999999999999,4.17,9.72,0.0,4.17,0.0,0.0,1.3888888888888888,0.0,2.8633333333333333,Truthful,5bcae4e85c2b810001dc2466,Missing a deadline at work because of bad organisation
6,121,163,1.3471074380165289,7.6,76.35,35.42,62.23,90.2,4.96,0.0,13.22,1.65,0.0,20.66,0.83,5.79,0.0,9.91,0.83,-4.960000000000001,0.8264462809917356,0.0,0.0,0.0,2.8253571428571433,Truthful,653ff4ad1b7bf9f92525aa1a,A job interview for your dream job
10,153,230,1.5032679738562091,8.1,64.41,29.85,80.59,8.17,1.96,3.27,9.15,1.96,4.58,15.69,0.65,9.15,1.96,9.15,0.0,-1.3099999999999987,1.2903225806451613,0.0,1.2903225806451613,0.0,2.7360714285714285,Truthful,5fbbde667818f3dc301f6647,A job interview for your dream job
