Participant id,Condition,Event,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
660687a02630547fb296d754,Truthful,Taking the bus/train without the ticket,190,55.49,7.5,99.0,35.11,17.27,14.21,91.58,74.74,59.47,15.79,12.11,10.53,0.0,1.58,0.0,0.0,3.68,17.37,12.11,0.53,11.58,8.95,6.84,5.79,1.05,20.0,4.21,2.63,0.53,0.0,0.0,0.53,12.63,0.0,12.63,2.63,2.63,2.63,2.63,0.0,2.11,0.53,2.11,1.58,0.53,1.05,0.53,0.53,0.53,0.0,0.0,0.0,5.79,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89,0.53,1.58,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,2.63,0.0,0.0,0.0,0.0,0.53,0.0,5.79,12.63,0.0,3.16,9.47,0.0,0.0,0.0,6.32,8.95,1.58,0.53,0.0,0.0,0.0,0.0,0.0,8.95,5.26,3.16,0.0,0.53,0.0,0.0,0.0
65391353897d68dd53a067da,Truthful,Ending a long romantic relationship,152,1.88,10.72,81.34,1.0,13.82,16.45,97.37,86.18,73.03,24.34,17.11,11.18,1.97,0.0,3.95,0.0,7.24,9.21,3.95,0.66,12.5,9.87,9.87,15.79,0.66,20.39,3.29,0.66,3.95,3.95,0.0,0.0,17.11,1.32,15.79,3.95,1.97,1.97,2.63,1.97,3.29,0.0,7.24,0.0,7.24,3.29,0.0,1.97,0.0,0.66,0.66,0.0,11.18,4.61,0.0,0.0,1.32,1.97,1.32,6.58,0.0,0.0,3.95,0.0,1.32,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,8.55,0.0,1.97,4.61,0.0,0.0,1.97,3.95,15.13,0.66,0.0,0.0,0.0,0.0,0.0,0.0,10.53,7.24,2.63,0.0,0.0,0.66,0.0,0.0
615b2ee8616d1b05551794ee,Truthful,A job interview for your dream job,129,78.39,6.24,93.24,56.53,16.13,20.93,97.67,74.42,63.57,13.18,10.08,9.3,0.0,0.0,0.0,0.78,3.1,17.05,10.85,5.43,17.83,8.53,4.65,7.75,0.78,17.83,2.33,3.88,1.55,0.78,0.78,0.0,8.53,1.55,6.98,2.33,0.78,0.78,0.78,0.78,0.78,0.78,4.65,3.1,0.78,2.33,0.78,0.78,0.78,0.0,0.0,0.0,10.08,9.3,0.78,2.33,0.0,0.0,4.65,2.33,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,6.2,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.78,0.78,0.0,0.0,0.0,0.78,0.0,0.0,3.1,8.53,0.0,1.55,5.43,0.78,0.0,0.78,7.75,13.18,0.0,0.78,0.0,0.0,0.0,0.0,0.0,10.85,6.2,4.65,0.0,0.0,0.0,0.0,0.0
616dc201c0b58a25890f4b94,Truthful,Ending a long romantic relationship,256,24.22,25.34,72.92,20.23,19.69,10.94,96.09,78.91,65.23,23.44,19.14,9.77,0.39,0.0,8.59,0.39,4.3,11.72,5.47,1.56,16.41,7.81,4.69,9.77,1.95,16.41,3.13,4.3,2.34,1.95,0.39,0.0,10.94,1.17,9.77,1.95,1.56,2.73,0.78,0.0,2.73,0.0,3.52,1.56,1.56,1.95,0.39,0.39,0.0,0.0,0.0,0.0,14.45,3.13,0.39,0.0,0.39,0.39,1.56,11.33,0.78,0.0,0.39,8.59,0.78,0.0,0.0,0.78,5.47,1.17,2.34,1.56,0.39,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.39,1.17,0.0,0.39,0.0,0.0,0.39,0.0,3.52,11.33,0.39,2.34,7.81,0.39,0.0,0.78,8.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,4.69,1.56,0.0,0.0,0.0,0.78,0.0
5b6034ba0ced0a00017ba9b9,Truthful,Missing a deadline at work because of bad organisation,119,68.82,97.84,64.51,59.8,19.83,19.33,92.44,72.27,62.18,16.81,10.92,0.0,8.4,0.0,0.0,1.68,5.88,22.69,12.61,0.0,14.29,5.88,5.04,7.56,1.68,12.61,3.36,8.4,14.29,10.08,4.2,1.68,9.24,3.36,5.88,1.68,0.0,0.0,0.0,0.0,4.2,0.0,4.2,3.36,0.84,2.52,2.52,0.0,0.0,0.0,0.0,0.0,21.01,8.4,1.68,0.0,0.0,0.84,2.52,12.61,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.84,8.4,4.2,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,5.04,1.68,0.0,0.0,1.68,0.0,0.0,0.0,12.61,10.08,1.68,2.52,0.84,0.0,0.84,0.0,0.0,10.92,5.88,3.36,0.0,0.0,0.0,1.68,0.0
5f4e0edcc541ccaf7a8f11c4,Truthful,None of them,147,75.44,56.29,70.51,40.13,21.0,17.01,86.39,65.99,55.1,13.61,6.8,3.4,3.4,0.0,0.0,0.0,6.8,16.33,8.16,1.36,16.33,6.12,5.44,6.12,0.68,10.2,5.44,5.44,6.12,5.44,0.0,0.68,10.2,0.68,8.16,2.04,0.68,0.0,0.68,0.68,2.72,1.36,6.8,4.08,2.72,1.36,0.68,0.68,0.68,0.0,0.0,0.0,8.16,2.04,0.0,0.0,0.0,0.0,0.68,6.12,0.0,1.36,0.68,0.0,0.68,0.0,0.68,0.0,2.04,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.68,0.0,0.68,1.36,0.68,6.8,9.52,0.0,2.72,6.8,0.0,0.0,0.0,3.4,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56,4.08,6.12,0.0,0.0,0.68,0.68,0.0
60e807c17adbb05b6799a83e,Truthful,None of them,305,94.54,5.67,97.39,50.42,30.5,16.07,87.87,68.85,57.05,8.52,6.89,5.57,1.31,0.0,0.0,0.0,1.64,19.02,14.43,0.98,16.39,4.92,2.95,8.2,1.64,11.15,3.28,4.26,5.57,1.64,2.62,1.64,12.46,1.31,11.15,1.64,1.31,0.66,1.64,0.0,5.9,0.0,2.95,2.3,0.33,1.31,0.98,0.0,0.0,0.0,0.0,0.0,8.52,4.26,0.66,0.33,0.33,0.66,2.3,2.95,0.0,0.66,0.0,0.33,0.33,0.0,0.0,0.33,1.97,0.0,0.0,1.97,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.66,0.0,0.33,0.0,0.0,0.0,0.0,5.57,10.49,0.33,1.97,6.56,0.33,0.66,0.66,7.87,8.52,0.33,0.98,0.0,0.0,0.0,0.0,0.0,13.11,3.93,5.9,0.0,0.33,0.0,2.95,0.0
616dd4121bdb418e5cbb09a5,Truthful,Cheating on your partner,89,68.74,40.06,96.45,36.25,89.0,16.85,98.88,75.28,64.04,15.73,14.61,10.11,2.25,0.0,2.25,0.0,1.12,17.98,11.24,1.12,16.85,7.87,4.49,8.99,1.12,14.61,5.62,4.49,8.99,7.87,0.0,1.12,1.12,0.0,1.12,0.0,0.0,0.0,0.0,0.0,1.12,0.0,5.62,3.37,2.25,2.25,1.12,1.12,0.0,1.12,0.0,0.0,14.61,5.62,0.0,0.0,0.0,0.0,2.25,10.11,2.25,2.25,4.49,0.0,0.0,0.0,0.0,0.0,2.25,1.12,1.12,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,6.74,6.74,0.0,3.37,3.37,0.0,0.0,0.0,12.36,11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,3.37,2.25,0.0,0.0,0.0,0.0,0.0
6613f2bcc9eb1d833c3c107c,Truthful,Cheating on your partner,88,1.81,5.27,79.84,86.79,12.57,12.5,96.59,78.41,69.32,25.0,17.05,10.23,2.27,0.0,4.55,0.0,7.95,14.77,3.41,0.0,9.09,11.36,10.23,7.95,2.27,18.18,3.41,0.0,11.36,9.09,0.0,2.27,21.59,0.0,20.45,3.41,3.41,3.41,3.41,0.0,7.95,1.14,6.82,5.68,1.14,2.27,2.27,0.0,0.0,0.0,0.0,0.0,17.05,7.95,3.41,0.0,1.14,1.14,1.14,9.09,0.0,1.14,0.0,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,1.14,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,1.14,5.68,5.68,0.0,2.27,3.41,0.0,0.0,1.14,3.41,10.23,4.55,0.0,0.0,0.0,0.0,0.0,0.0,11.36,6.82,3.41,0.0,1.14,0.0,0.0,0.0
60d336e24fbd4089351d3785,Truthful,Missing a deadline at work because of bad organisation,127,25.62,1.0,80.38,1.0,15.88,15.75,95.28,76.38,66.14,21.26,14.96,14.17,0.79,0.0,0.0,0.0,6.3,12.6,3.94,5.51,17.32,12.6,3.94,7.87,0.79,20.47,3.94,3.94,4.72,0.79,1.57,2.36,11.81,0.79,11.02,3.15,1.57,3.15,0.0,0.0,2.36,0.79,3.94,0.0,3.94,2.36,0.0,2.36,0.0,0.79,0.79,0.0,7.09,4.72,0.0,0.0,1.57,1.57,0.79,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.79,0.0,4.72,0.0,0.0,4.72,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,3.94,4.72,0.0,0.79,3.15,0.79,0.0,0.0,2.36,14.17,3.94,1.57,0.0,0.0,0.0,0.0,0.0,18.11,5.51,5.51,0.0,0.79,0.79,5.51,0.0
