Participant_id,Fluent_languages,Age,Sex,Nationality,Language,Student status,Employment status,Duration_sec,Duration_min,List_of_events,Event,Title_event,Time_event,Recollection_event,Importance_event,Accuracy_event,Valence_event,Task_order,True_event,True_event_tokens,True_event_clean,True_event_num_words,False_event,False_event_tokens,False_event_clean,False_event_num_words,Embedded_lies_1,Embedded_lies_2,Embedded_lies_3,Embedded_lies_4,Embedded_lies_5,Embedded_lies_6,Embedded_lies_7,Embedded_lies_8,Embedded_lies_9,Embedded_lies_10,Embedded_lies_11,Embedded_lies_12,Embedded_lies_13,Embedded_lies_14,Embedded_lies_15,Embedded_lies_16,Embedded_lies_17,Embedded_lies_18,Embedded_lies_19,Embedded_lies_20,1_deceptive,1_central,1_source,2_deceptive,2_central,2_source,3_deceptive,3_central,3_source,4_deceptive,4_central,4_source,5_deceptive,5_central,5_source,6_deceptive,6_central,6_source,7_deceptive,7_central,7_source,8_deceptive,8_central,8_source,9_deceptive,9_central,9_source,10_deceptive,10_central,10_source,11_deceptive,11_central,11_source,12_deceptive,12_central,12_source,13_deceptive,13_central,13_source,14_deceptive,14_central,14_source,15_deceptive,15_central,15_source,16_deceptive,16_central,16_source,17_deceptive,17_central,17_source,18_deceptive,18_central,18_source,19_deceptive,19_central,19_source,20_deceptive,20_central,20_source,EL_abs_num,merged_lies,merged_lies_tokens,merged_lies_clean,EL_num_words,EL_stand_num,deceptiveness,centrality,Difficulty,Motivation_truth,Motivation_deception,Clear_instructions,LIE_Ability,LIE_Frequency,LIE_Negativity,LIE_Contextuality,SDE,IM,BIDR,LIE_Ability_adj,LIE_Contextuality_adj,LIE_Frequency_adj,LIE_Negativity_adj,LIE_Profile,is_positive_gain
64d78e7bd7ea147007143ead,"English, Portuguese",26.0,Male,Portugal,Portuguese,No,Full-Time,538,8.966666667,"Being hospitalised and undergoing surgery,Taking the bus/train without the ticket,Missing a deadline at work because of bad organisation",Taking the bus/train without the ticket,Taking the bus/train without the ticket,1,1,1,4,0.0,TL,"I was going to meet friends to go out for drinks at night, and had originally planned to go all the way via car. However, I learned very close to leaving the house that parking near the destination was not an option, so I had to take public transportation at some point. At that time, there was no place to charge my card with a trip, and a one-off is considerably more expensive, so I gambled on not being checked and went without validating.",i was going to meet friends to go out for drinks at night and had originally planned to go all the way via car however i learned very close to leaving the house that parking near the destination was not an option so i had to take public transportation at some point at that time there was no place to charge my card with a trip and a one off is considerably more expensive so i gambled on not being checked and went without validating,go meet friend drink night originally plan way car learn close leave house parking near destination option public transportation point time place charge card trip considerably expensive gamble check go validate,85,"I was going to meet friends for a night out drinking and planned to go via car, but learned at the last minute that parking wasn't an option near the destination. I immediately rushed to an open place where I could top up my trip card, since it was near dinner time and closing, and the person on the counter was overall rude. I did pay for the trip but they didn't even bother giving me a receipt, likely didn't even scan the card correctly to top it up.",i was going to meet friends for a night out drinking and planned to go via car but learned at the last minute that parking was n't an option near the destination i immediately rushed to an open place where i could top up my trip card since it was near dinner time and closing and the person on the counter was overall rude i did pay for the trip but they did n't even bother giving me a receipt likely did n't even scan the card correctly to top it up,go meet friend night drinking plan car learn minute parking option near destination immediately rush open place trip card near dinner time closing person counter overall rude pay trip bother give receipt likely scan card correctly,92,"I immediately rushed to an open place where I could top up my trip card, since it was near dinner time and closing, and the person on the counter was overall rude","I did pay for the trip but they didn't even bother giving me a receipt, likely didn't even scan the card correctly to top it up",,,,,,,,,,,,,,,,,,,5,4,Exp_Others,5.0,5.0,NotExp_Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"I immediately rushed to an open place where I could top up my trip card, since it was near dinner time and closing, and the person on the counter was overall rude  I did pay for the trip but they didn't even bother giving me a receipt, likely didn't even scan the card correctly to top it up",i immediately rushed to an open place where i could top up my trip card since it was near dinner time and closing and the person on the counter was overall rude i did pay for the trip but they did n't even bother giving me a receipt likely did n't even scan the card correctly to top it up,immediately rush open place trip card near dinner time closing person counter overall rude pay trip bother give receipt likely scan card correctly,58,0.630434783,5.0,4.5,2,4,5,5,6.5,6.0,6.5,7.0,2.375,2.875,2.625,-0.415548886,-1.399338517,1.291782555,-0.709429772,Trickster,0
64fe1a8cb414942c9303fd98,"Greek, English",35.0,Female,Greece,Greek,Yes,Full-Time,1020,17.0,Taking the bus/train without the ticket,Taking the bus/train without the ticket,Taking the bus/train without the ticket,2,1,1,4,0.0,TL,"About two months ago after finishing work I went to my pilates lesson. I have a ten way ticket which I have to validate each time I enter a bus/ train or metro. I do not use public means of transport often since I work from home. I entered the bus and I was there for 5-10 minutes until I reached my destination. After getting off I realised I had not validaded my ticket. There are validation machines inside the bus however I forgot to use one. As an insident it did not make me feel bad , I just realised that I have to be more concentrated. There was no punishment about it since there was no check about validating the tickets while I was in the bus",about two months ago after finishing work i went to my pilates lesson i have a ten way ticket which i have to validate each time i enter a bus/ train or metro i do not use public means of transport often since i work from home i entered the bus and i was there for 5 10 minutes until i reached my destination after getting off i realised i had not validaded my ticket there are validation machines inside the bus however i forgot to use one as an insident it did not make me feel bad i just realised that i have to be more concentrated there was no punishment about it since there was no check about validating the tickets while i was in the bus,month ago finish work go pilate lesson way ticket validate time enter bus/ train metro use public mean transport work home enter bus 5 10 minute reach destination get realise validaded ticket validation machine inside bus forget use insident feel bad realise concentrated punishment check validate ticket bus,129,"Two months ago after my shift finished, I had to take the bus to go to my pilates lesson. I have a ten way ticket which I should validate each time I enter a public means of transport (but/ train/ metro). Unfortunatly I forgot to validate my ticket and even if it only takes five to ten minutes to reach my destination, a ticket inpector entered the bus. The fine is about 100 euros for people who do not validate the ticket and I felt it was very unfair to pay just because I forgot to validate the ticket when I entered the bus. I asked the inspector to let me validate my ticket while he was there but he refused. In the next stop, while still negotiating ,the door of the bus opened and I run outside.",two months ago after my shift finished i had to take the bus to go to my pilates lesson i have a ten way ticket which i should validate each time i enter a public means of transport but/ train/ metro unfortunatly i forgot to validate my ticket and even if it only takes five to ten minutes to reach my destination a ticket inpector entered the bus the fine is about 100 euros for people who do not validate the ticket and i felt it was very unfair to pay just because i forgot to validate the ticket when i entered the bus i asked the inspector to let me validate my ticket while he was there but he refused in the next stop while still negotiating the door of the bus opened and i run outside,month ago shift finish bus pilate lesson way ticket validate time enter public mean transport but/ train/ metro unfortunatly forgot validate ticket take minute reach destination ticket inpector enter bus fine 100 euro people validate ticket feel unfair pay forget validate ticket enter bus ask inspector let validate ticket refuse stop negotiate door bus open run outside,138,a ticket inpector entered the bus,I felt it was very unfair to pay just because I forgot to validate the ticket when I entered the bus.,asked the inspector to let me validate my ticket while he was there but he refused.,". I asked the inspector to let me validate my ticket while he was there but he refused. In the next stop, while still negotiating ,the door of the bus opened and I run outside",,,,,,,,,,,,,,,,,5,5,NotExp_Self,5.0,4.0,NotExp_Self,5.0,5.0,NotExp_Self,5.0,5.0,NotExp_Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"a ticket inpector entered the bus  I felt it was very unfair to pay just because I forgot to validate the ticket when I entered the bus.   asked the inspector to let me validate my ticket while he was there but he refused. . I asked the inspector to let me validate my ticket while he was there but he refused. In the next stop, while still negotiating ,the door of the bus opened and I run outside",a ticket inpector entered the bus i felt it was very unfair to pay just because i forgot to validate the ticket when i entered the bus asked the inspector to let me validate my ticket while he was there but he refused i asked the inspector to let me validate my ticket while he was there but he refused in the next stop while still negotiating the door of the bus opened and i run outside,ticket inpector enter bus feel unfair pay forget validate ticket enter bus ask inspector let validate ticket refuse ask inspector let validate ticket refuse stop negotiate door bus open run outside,77,0.557971014,5.0,4.75,2,4,4,5,5.0,2.5,7.75,6.75,3.75,4.625,4.1875,-0.325568721,0.370395239,-0.607602296,-0.70791118,Trickster,0
5ef0a7652df215607fd60858,English,35.0,Female,South Africa,English,No,Other,786,13.1,Missing a deadline at work because of bad organisation,Missing a deadline at work because of bad organisation,Missing a deadline at work because of bad organisation,1,2,2,2,-0.5,LT,"I missed an important deadline on a project at work because I had not planned my time well. I knew the deadline, was fully cognizant of it, yet I still found myself procrastinating completing the project fully, when it was in my means to do so. I was lazy in some aspects of work relating to the project.",i missed an important deadline on a project at work because i had not planned my time well i knew the deadline was fully cognizant of it yet i still found myself procrastinating completing the project fully when it was in my means to do so i was lazy in some aspects of work relating to the project,miss important deadline project work plan time know deadline fully cognizant find procrastinate complete project fully mean lazy aspect work relate project,58,"I had a deadline for a project at work, and missed the deadline because of bad organization on my part. I had not fully planned out how much time it would take me to complete the project, so when the deadline came around, I was not finished. I did submit the project, but I was late in doing so because of my own shortsightedness.",i had a deadline for a project at work and missed the deadline because of bad organization on my part i had not fully planned out how much time it would take me to complete the project so when the deadline came around i was not finished i did submit the project but i was late in doing so because of my own shortsightedness,deadline project work miss deadline bad organization fully plan time complete project deadline come finish submit project late shortsightedness,64,shortsightedness,not fully planned out how much time it would take me to complete the project,,,,,,,,,,,,,,,,,,,3,3,Exp_Self,3.0,3.0,Exp_Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,shortsightedness not fully planned out how much time it would take me to complete the project,shortsightedness not fully planned out how much time it would take me to complete the project,shortsightedness fully plan time complete project,16,0.25,3.0,3.0,2,5,2,5,3.5,3.75,9.75,3.75,4.125,5.125,4.625,-1.366716816,-2.053237216,1.095814078,0.934067584,Virtuous,0
660eb1803afa9ee52325b09b,"Other, English",30.0,Female,Nigeria,English,Yes,Unemployed (and job seeking),1232,20.53333333,"Being involved in a car accident,Being hospitalised and undergoing surgery",Being hospitalised and undergoing surgery,Being hospitalised and undergoing surgery,7,2,5,5,-1.0,LT,"I was involved in a vehicle accident 7 months ago in my home country, Nigeria. I was traveling to get my international passport. The bus I was in had a head-on collision with a truck with a failed brake. 5 people died and several other people were injured including myself. I was rushed to the hospital and was hospitalised for 1 week. I was administered medications and had Xray scans. Luckily for me i had no broken bone, hence no surgery required.",i was involved in a vehicle accident 7 months ago in my home country nigeria i was traveling to get my international passport the bus i was in had a head on collision with a truck with a failed brake 5 people died and several other people were injured including myself i was rushed to the hospital and was hospitalised for 1 week i was administered medications and had xray scans luckily for me i had no broken bone hence no surgery required,involve vehicle accident 7 month ago home country nigeria travel international passport bus head collision truck fail brake 5 people die people injure include rush hospital hospitalise 1 week administer medication xray scan luckily broken bone surgery require,83,I was hospitalised 7 months ago after being involved in a vehicle accident while traveling. The bus I was travelling in had a collision with a truck with a bad break causing 5 deaths and a lot of people were injured. I was rushed to the hospital where I was hospitalised for 4 weeks. I had to undergo Xray scans and surgery due to bone fracture.,i was hospitalised 7 months ago after being involved in a vehicle accident while traveling the bus i was travelling in had a collision with a truck with a bad break causing 5 deaths and a lot of people were injured i was rushed to the hospital where i was hospitalised for 4 weeks i had to undergo xray scans and surgery due to bone fracture,hospitalise 7 month ago involve vehicle accident travel bus travel collision truck bad break cause 5 death lot people injure rush hospital hospitalise 4 week undergo xray scan surgery bone fracture,66,4 weeks,surgery,bone fracture,,,,,,,,,,,,,,,,,,3,2,Exp_Self,5.0,2.0,Exp_Others,5.0,3.0,Exp_Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4 weeks surgery bone fracture,4 weeks surgery bone fracture,4 week surgery bone fracture,5,0.075757576,4.333333333,2.333333333,4,5,4,5,2.0,2.0,9.0,4.0,6.125,5.375,5.75,-3.101334469,-1.444080342,-0.031400315,0.138251616,Virtuous,0
615211c71871ab62cb14cbe1,English,27.0,Male,South Africa,English,Yes,Full-Time,1830,30.5,Getting a speeding fine,Getting a speeding fine,Getting a speeding fine,2,2,4,5,-1.0,LT,I was transporting my LPG cylinders on my way to my destination where I was travelling 100 kph. I saw a speed limit sign that red 60 kph but I only reduced my speed to 93 kph. Right around the bend in the road there was traffic cops and stopped me and told me that I clocked in 93kph in a 60kph zone. They issued me a traffic fine and told me to pay it within 4 months.,i was transporting my lpg cylinders on my way to my destination where i was travelling 100 kph i saw a speed limit sign that red 60 kph but i only reduced my speed to 93 kph right around the bend in the road there was traffic cops and stopped me and told me that i clocked in 93kph in a 60kph zone they issued me a traffic fine and told me to pay it within 4 months,transport lpg cylinder way destination travel 100 kph see speed limit sign red 60 kph reduce speed 93 kph right bend road traffic cop stop tell clock 93kph 60kph zone issue traffic fine tell pay 4 month,78,"I run a liquified petroleum gas (LPG) cylinder filling business where I have two drivers that deliver LPG cylinders to the North-West province in South Africa. Along the route, there are often poor road markings and vandalised street signs because the authorities do not properly maintain the road infrastructure. Generally speaking, the speed limit on National Roads in South Africa is 120 kph, but I provide performance bonuses towards my drivers if they travel between 80kph and 100 kph to minimise traffic fines. I also have also retrofitted fleet-management tools in my trucks to ensure that the drivers are following the rules of the road. Near my destination, there was a speed trap put in a random location where there was no indication of a speed limit prior to arriving and it caught out my driver who was doing 80 kph. The driver informed me that he was stopped for speeding and was issued a fine for travelling 80kph in a 60kph zone but this was disputed because there were no road signs prior to the spot where the traffic official was location.",i run a liquified petroleum gas lpg cylinder filling business where i have two drivers that deliver lpg cylinders to the north west province in south africa along the route there are often poor road markings and vandalised street signs because the authorities do not properly maintain the road infrastructure generally speaking the speed limit on national roads in south africa is 120 kph but i provide performance bonuses towards my drivers if they travel between 80kph and 100 kph to minimise traffic fines i also have also retrofitted fleet management tools in my trucks to ensure that the drivers are following the rules of the road near my destination there was a speed trap put in a random location where there was no indication of a speed limit prior to arriving and it caught out my driver who was doing 80 kph the driver informed me that he was stopped for speeding and was issued a fine for travelling 80kph in a 60kph zone but this was disputed because there were no road signs prior to the spot where the traffic official was location,run liquified petroleum gas lpg cylinder filling business driver deliver lpg cylinder north west province south africa route poor road marking vandalise street sign authority properly maintain road infrastructure generally speak speed limit national roads south africa 120 kph provide performance bonus driver travel 80kph 100 kph minimise traffic fine retrofit fleet management tool truck ensure driver follow rule road near destination speed trap random location indication speed limit prior arrive catch driver 80 kph driver inform stop speeding issue fine travel 80kph 60kph zone dispute road sign prior spot traffic official location,185,80kph,drivers,poor road markings,no road signs prior to the spot,,,,,,,,,,,,,,,,,5,5,Exp_Self,3.0,3.0,Exp_Others,5.0,5.0,Exp_Self,5.0,5.0,NotExp_Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80kph  drivers  poor road markings no road signs prior to the spot,80kph drivers poor road markings no road signs prior to the spot,80kph driver poor road marking road sign prior spot,12,0.064864865,4.5,4.5,1,5,5,5,2.5,3.25,10.25,6.5,4.375,3.25,3.8125,-4.511451307,-1.39976078,-0.742564508,2.898359573,Virtuous,0
65747491d8f58d184dbca9c2,"Chinese, English, Spanish, Korean",27.0,Female,China,Chinese,Yes,Full-Time,953,15.88333333,"A job interview for your dream job,Taking the bus/train without the ticket,Missing a deadline at work because of bad organisation",Taking the bus/train without the ticket,Taking the bus/train without the ticket,3,1,3,5,-0.5,TL,"I was going out to a chinese supermarket that we often go at weekends, there is aprox. 10 minutes walking from the apartment to the metro station.  I normally have a transportation card in my yellow cardholder, easy to find in my backpack. However when for simple events, I sometimes just take the single card and put it in my pocket. One day before, I went out like that with my transportation card alone in my pockets, resulted that I changed my pants and I forgot the card in the ones that I wore the day before. So I entered the metro station right after my roommate without the ticket.",i was going out to a chinese supermarket that we often go at weekends there is aprox 10 minutes walking from the apartment to the metro station i normally have a transportation card in my yellow cardholder easy to find in my backpack however when for simple events i sometimes just take the single card and put it in my pocket one day before i went out like that with my transportation card alone in my pockets resulted that i changed my pants and i forgot the card in the ones that i wore the day before so i entered the metro station right after my roommate without the ticket,go chinese supermarket weekend aprox 10 minute walk apartment metro station normally transportation card yellow cardholder easy find backpack simple event single card pocket day go like transportation card pocket result change pant forget card one wear day enter metro station right roommate ticket,110,"Hello sir it seems that I don´t have my physical ticket in my pocket right now. I just used it to enter the security a few minutes. But i could show you the digital card in my mobile phone. It just cannot be read never. But my ticket I have is a joven card, you could see its validation date. Will that be acceptable?",hello sir it seems that i don´t have my physical ticket in my pocket right now i just used it to enter the security a few minutes but i could show you the digital card in my mobile phone it just can not be read never but my ticket i have is a joven card you could see its validation date will that be acceptable,hello sir don´t physical ticket pocket right enter security minute digital card mobile phone read ticket joven card validation date acceptable,65,I just used it to enter the security a few minutes,,,,,,,,,,,,,,,,,,,,4,2,NotExp_Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,I just used it to enter the security a few minutes,i just used it to enter the security a few minutes,enter security minute,11,0.169230769,4.0,2.0,1,5,2,5,6.25,4.0,9.75,9.0,3.5,3.25,3.375,-0.537430256,1.065976344,-0.183774297,2.334058707,Virtuous,0
5d305e3ce3e63d0017069c80,"English, Polish",25.0,Male,Poland,Polish,No,Full-Time,1197,19.95,Getting fired,Getting fired,Getting fired,6,2,3,4,0.0,TL,"I was fired six months ago on a Monday. It was a normal day until the manager came and invited me to the HR department, where I received my termination notice. That's how I said goodbye to my job. It didn't really stick in my memory. After leaving the office, I felt a mix of emotions. On one hand, I was surprised and a bit shaken, on the other, I felt a sense of relief.",i was fired six months ago on a monday it was a normal day until the manager came and invited me to the hr department where i received my termination notice that 's how i said goodbye to my job it did n't really stick in my memory after leaving the office i felt a mix of emotions on one hand i was surprised and a bit shaken on the other i felt a sense of relief,fire month ago monday normal day manager come invite hr department receive termination notice say goodbye job stick memory leave office feel mix emotion hand surprised bit shaken feel sense relief,77,"I decided to quit my job six months agon on a Monday. It was a normal day until I approached the manager and informed him of my decision. Then I went to the HR department to hand in my resignation notice. That's how I said goodbye to my job. It didn't really stick in my memory, after leaving the office, I felt mix of emotions. On one hand I was excited and a bit nervous, on the other I felt a sense of liberation",i decided to quit my job six months agon on a monday it was a normal day until i approached the manager and informed him of my decision then i went to the hr department to hand in my resignation notice that 's how i said goodbye to my job it did n't really stick in my memory after leaving the office i felt mix of emotions on one hand i was excited and a bit nervous on the other i felt a sense of liberation,decide quit job month agon monday normal day approach manager inform decision go hr department hand resignation notice say goodbye job stick memory leave office feel mix emotion hand excited bit nervous feel sense liberation,86,I decided to quit my job,I approached the manager,informed him of my decision,Then I went to the HR department,hand in my resignation notice,,,,,,,,,,,,,,,,4,5,Exp_Self,4.0,4.0,Exp_Self,4.0,4.0,Exp_Self,4.0,4.0,Exp_Self,3.0,3.0,Exp_Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,I decided to quit my job  I approached the manager informed him of my decision Then I went to the HR department  hand in my resignation notice,i decided to quit my job i approached the manager informed him of my decision then i went to the hr department hand in my resignation notice,decide quit job approach manager inform decision go hr department hand resignation notice,27,0.313953488,3.8,4.0,4,3,2,3,1.0,1.0,10.75,1.75,4.625,6.5,5.5625,-2.468861295,-2.489028927,-0.523382552,0.910469373,Virtuous,0
63ee1884534ecc3f58e7bb8a,English,49.0,Female,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,1104,18.4,Being hospitalised and undergoing surgery,Being hospitalised and undergoing surgery,Being hospitalised and undergoing surgery,6,3,4,4,0.5,TL,"Six months ago I underwent surgery to remove a very large cyst from my scalp, a number of other medium sized cysts were also removed. I had been incredibly anxious about the surgery as I had never had general anaesthetic prior to this. The surgery took longer than expected. When I woke up in recovery, I was very unwell due to the effects of the general anaesthetic and anti-emetic drugs that were administered to me. Although, it was supposed to be a day surgery, I was not well enough to return home and had to have an unplanned overnight stay in hospital on a fluid drip.",six months ago i underwent surgery to remove a very large cyst from my scalp a number of other medium sized cysts were also removed i had been incredibly anxious about the surgery as i had never had general anaesthetic prior to this the surgery took longer than expected when i woke up in recovery i was very unwell due to the effects of the general anaesthetic and anti emetic drugs that were administered to me although it was supposed to be a day surgery i was not well enough to return home and had to have an unplanned overnight stay in hospital on a fluid drip,month ago undergo surgery remove large cyst scalp number medium sized cyst remove incredibly anxious surgery general anaesthetic prior surgery take long expect wake recovery unwell effect general anaesthetic anti emetic drug administer suppose day surgery return home unplanned overnight stay hospital fluid drip,107,"Six months ago I underwent planned surgery to remove a very large cyst from my scalp and several medium sized cysts. The surgery took longer than planned and as a result I was very unwell afterwards. It took me some time to come round whilst in recovery. The effects of general anaesthetic and anti emetic drugs caused me to be violently sick, I could not even keep water down. I was rushed to another hospital and admitted to a ward for observation and to administer fluids via a drip. I waited four years for this surgery, during this time my details were lost and several appointments cancelled due to strikes and other issues. If I had received the surgery earlier, the procedure would not have taken so long and I would not have been so unwell after the surgery.",six months ago i underwent planned surgery to remove a very large cyst from my scalp and several medium sized cysts the surgery took longer than planned and as a result i was very unwell afterwards it took me some time to come round whilst in recovery the effects of general anaesthetic and anti emetic drugs caused me to be violently sick i could not even keep water down i was rushed to another hospital and admitted to a ward for observation and to administer fluids via a drip i waited four years for this surgery during this time my details were lost and several appointments cancelled due to strikes and other issues if i had received the surgery earlier the procedure would not have taken so long and i would not have been so unwell after the surgery,month ago undergo planned surgery remove large cyst scalp medium sized cyst surgery take long plan result unwell take time come round whilst recovery effect general anaesthetic anti emetic drug cause violently sick water rush hospital admit ward observation administer fluid drip wait year surgery time detail lose appointment cancel strike issue receive surgery early procedure take long unwell surgery,139,violently sick,I was rushed to another hospital,"If I had received the surgery earlier, the procedure would not have taken so long",,,,,,,,,,,,,,,,,,2,2,NotExp_Self,2.0,2.0,Exp_Self,2.0,2.0,Exp_Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"violently sick I was rushed to another hospital If I had received the surgery earlier, the procedure would not have taken so long",violently sick i was rushed to another hospital if i had received the surgery earlier the procedure would not have taken so long,violently sick rush hospital receive surgery early procedure take long,23,0.165467626,2.0,2.0,2,5,4,5,3.75,2.25,9.0,5.75,5.875,5.75,5.8125,-0.871182759,0.717392856,0.442570307,-0.169304122,Trickster,0
654fa964d5c77d6aca4be382,"English, Indonesian",19.0,Female,Indonesia,Indonesian,Yes,Other,768,12.8,Taking the bus/train without the ticket,Taking the bus/train without the ticket,Taking the bus/train without the ticket,2,1,1,4,-0.5,LT,"I was in Copenhagen for a week and used public transport as the main way of getting around. I used the Copenhagen card which included public transport in the price as my ticket for the first 24 hours. During that time, I noticed that most people (presumably locals) did not check in to ride the bus, and I did not see any ticket inspectors at all. After my card expired (with my knowledge) I rode the bus without a ticket. On one instance, a ticket inspector randomly came in and started checking tickets. However, I was lucky as he was just starting to check people in the front of the bus while I was at the back and my stop was coming up. I managed to get off the bus without getting checked.",i was in copenhagen for a week and used public transport as the main way of getting around i used the copenhagen card which included public transport in the price as my ticket for the first 24 hours during that time i noticed that most people presumably locals did not check in to ride the bus and i did not see any ticket inspectors at all after my card expired with my knowledge i rode the bus without a ticket on one instance a ticket inspector randomly came in and started checking tickets however i was lucky as he was just starting to check people in the front of the bus while i was at the back and my stop was coming up i managed to get off the bus without getting checked,copenhagen week public transport main way get copenhagen card include public transport price ticket 24 hour time notice people presumably local check ride bus ticket inspector card expire knowledge ride bus ticket instance ticket inspector randomly come start check ticket lucky start check people bus stop come manage bus getting check,133,"I was travelling to Copenhagen for around a week and used public transport as the main way of getting around the city. On my first day, I used the Copenhagen card which included public transport, so I didn't have to pay when the card is valid. After 24 hours, the card expired and I took the bus but I didn't realize as it was barely an hour after the expiration time. While I was on the bus, an inspector randomly came in and checked all of the passengers including me. As I was a tourist, the inspector didn't fine me and warned me to buy a ticket next time.",i was travelling to copenhagen for around a week and used public transport as the main way of getting around the city on my first day i used the copenhagen card which included public transport so i did n't have to pay when the card is valid after 24 hours the card expired and i took the bus but i did n't realize as it was barely an hour after the expiration time while i was on the bus an inspector randomly came in and checked all of the passengers including me as i was a tourist the inspector did n't fine me and warned me to buy a ticket next time,travel copenhagen week public transport main way get city day copenhagen card include public transport pay card valid 24 hour card expire take bus realize barely hour expiration time bus inspector randomly come check passenger include tourist inspector fine warn buy ticket time,112,"After 24 hours, the card expired and I took the bus but I didn't realize as it was barely an hour after the expiration time.","While I was on the bus, an inspector randomly came in and checked all of the passengers including me.","s I was a tourist, the inspector didn't fine me and warned me to buy a ticket next time.",,,,,,,,,,,,,,,,,,3,4,NotExp_Self,2.0,5.0,Exp_Others,4.0,3.0,Exp_Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"After 24 hours, the card expired and I took the bus but I didn't realize as it was barely an hour after the expiration time. While I was on the bus, an inspector randomly came in and checked all of the passengers including me. s I was a tourist, the inspector didn't fine me and warned me to buy a ticket next time.",after 24 hours the card expired and i took the bus but i did n't realize as it was barely an hour after the expiration time while i was on the bus an inspector randomly came in and checked all of the passengers including me s i was a tourist the inspector did n't fine me and warned me to buy a ticket next time,24 hour card expire take bus realize barely hour expiration time bus inspector randomly come check passenger include s tourist inspector fine warn buy ticket time,63,0.5625,3.0,4.0,2,5,5,5,9.0,7.75,5.5,8.75,3.875,2.75,3.3125,1.561699795,0.268976979,3.276703434,-1.502805029,Trickster,0
614d6d63ffaa9be82c464151,English,23.0,Female,South Africa,English,Yes,Part-Time,2287,38.11666667,"A job interview for your dream job,Missing a deadline at work because of bad organisation",Missing a deadline at work because of bad organisation,Missing a deadline at work because of bad organisation,6,4,3,5,0.5,LT,"I had many tasks to submit but I thought completing the task by their quantity would make it easier to complete fast but I forgot about the one that needed more time (The one with the closest deadline). The clients where involved an responsible for setting a fixed deadline not an estimation of when the work might be needed. It took place at my workplace, September 2023. It is memorable because it taught me a lesson to always do follow ups and always do tasks according to deadline and which task came first not according to quantity.",i had many tasks to submit but i thought completing the task by their quantity would make it easier to complete fast but i forgot about the one that needed more time the one with the closest deadline the clients where involved an responsible for setting a fixed deadline not an estimation of when the work might be needed it took place at my workplace september 2023 it is memorable because it taught me a lesson to always do follow ups and always do tasks according to deadline and which task came first not according to quantity,task submit think complete task quantity easy complete fast forget need time close deadline client involve responsible set fix deadline estimation work need take place workplace september 2023 memorable teach lesson follow up task accord deadline task come accord quantity,97,"I missed my deadline at work because I was not aware of the dates and I had mixed the workload. I thought the job I completed was the one due now and the one that was needed now was the one due at a later stage. I always note my deadlines down on the calendar but last time we had a stand up meeting, the deadline was to be confirmed and I never had any other communication regarding the deadline which is why I thought the project is due in a later stage and not now.",i missed my deadline at work because i was not aware of the dates and i had mixed the workload i thought the job i completed was the one due now and the one that was needed now was the one due at a later stage i always note my deadlines down on the calendar but last time we had a stand up meeting the deadline was to be confirmed and i never had any other communication regarding the deadline which is why i thought the project is due in a later stage and not now,miss deadline work aware date mix workload think job complete need later stage note deadline calendar time stand meeting deadline confirm communication deadline think project later stage,96,I was not aware of the dates,I had mixed the workload,I always note my deadlines down,. I thought the job I completed was the one due now,the one that was needed now was the one due at a later stage,I thought the project is due in a later stage and not now,,,,,,,,,,,,,,,4,5,Exp_Self,3.0,4.0,Exp_Others,3.0,4.0,Exp_Self,3.0,3.0,Exp_Self,5.0,5.0,Exp_Others,4.0,5.0,Exp_Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,I was not aware of the dates  I had mixed the workload I always note my deadlines down . I thought the job I completed was the one due now   the one that was needed now was the one due at a later stage  I thought the project is due in a later stage and not now,i was not aware of the dates i had mixed the workload i always note my deadlines down i thought the job i completed was the one due now the one that was needed now was the one due at a later stage i thought the project is due in a later stage and not now,aware date mix workload note deadline think job complete need later stage think project later stage,56,0.583333333,3.666666667,4.333333333,2,4,4,5,3.5,4.75,8.5,5.5,5.25,4.75,5.0,-2.070889577,-0.680447538,2.063053244,0.055924188,Virtuous,0
